Batch_ID,Timestamp,Tool_ID,Recipe_ID,Temperature_C,Pressure_Torr,Gas_Flow_sccm,Process_Time_s,Film_Thickness_nm,Thickness_Target_nm,Defect_Count,Yield_pct,Pass_Fail
B0019,2026-01-05 13:24:00,CVD-01,RCP-A,320.63,7.991,97.78,60.53,98.84,100.0,3,96.78,Pass
B0020,2026-01-05 13:42:00,CVD-02,RCP-B,323.1,8.389,107.67,63.48,107.54,105.0,1,96.35,Pass
B0021,2026-01-05 14:00:00,CVD-03,RCP-A,322.18,7.963,99.3,58.78,98.66,100.0,1,96.81,Pass
B0022,2026-01-05 14:18:00,CVD-01,RCP-A,320.68,7.974,99.74,60.18,100.81,100.0,0,98.91,Pass
B0023,2026-01-05 14:36:00,CVD-02,RCP-A,317.17,8.242,98.12,60.6,99.17,100.0,2,95.97,Pass
B0024,2026-01-05 14:54:00,CVD-03,RCP-A,319.18,7.947,96.11,58.92,99.36,100.0,0,97.73,Pass
B0025,2026-01-05 15:12:00,CVD-01,RCP-B,325.6,8.3,105.36,61.42,103.82,105.0,2,96.69,Pass
B0026,2026-01-05 15:30:00,CVD-02,RCP-A,322.32,7.996,101.17,59.89,100.24,100.0,1,97.75,Pass
B0027,2026-01-05 15:48:00,CVD-03,RCP-A,319.26,8.043,99.36,60.32,99.57,100.0,3,96.34,Pass
B0028,2026-01-05 16:06:00,CVD-01,RCP-A,320.2,8.025,104.03,61.12,100.98,100.0,2,96.33,Pass
B0029,2026-01-05 16:24:00,CVD-02,RCP-A,319.97,7.909,101.52,59.48,99.48,100.0,1,98.14,Pass
B0030,2026-01-05 16:42:00,CVD-03,RCP-B,325.22,8.35,103.39,62.27,103.96,105.0,0,98.23,Pass
B0031,2026-01-05 17:00:00,CVD-01,RCP-A,321.98,7.963,102.7,59.58,100.25,100.0,1,97.19,Pass
B0032,2026-01-05 17:18:00,CVD-02,RCP-A,320.82,7.891,102.16,59.71,99.62,100.0,2,97.75,Pass
B0033,2026-01-05 17:36:00,CVD-03,RCP-A,320.49,7.942,102.18,60.94,100.47,100.0,1,98.15,Pass
B0034,2026-01-05 17:54:00,CVD-01,RCP-A,319.55,8.08,102.99,60.19,100.75,100.0,0,97.8,Pass
B0035,2026-01-05 18:12:00,CVD-02,RCP-B,324.9,8.517,103.01,60.44,105.66,105.0,0,97.59,Pass
B0036,2026-01-05 18:30:00,CVD-03,RCP-A,320.34,7.853,98.19,60.36,100.47,100.0,1,97.29,Pass
B0037,2026-01-05 18:48:00,CVD-01,RCP-A,320.69,8.311,102.55,59.1,97.91,100.0,1,96.59,Pass
B0038,2026-01-05 19:06:00,CVD-02,RCP-A,320.52,8.069,97.41,60.75,101.59,100.0,2,96.6,Pass
B0039,2026-01-05 19:24:00,CVD-03,RCP-A,320.18,7.976,102.56,59.31,99.38,100.0,0,98.65,Pass
B0040,2026-01-05 19:42:00,CVD-01,RCP-B,324.59,8.483,103.18,61.62,105.63,105.0,1,98.08,Pass
B0041,2026-01-05 20:00:00,CVD-02,RCP-A,319.14,7.948,101.56,60.6,100.85,100.0,2,97.27,Pass
B0042,2026-01-05 20:18:00,CVD-03,RCP-A,319.45,7.872,98.11,60.37,97.22,100.0,1,96.85,Pass
B0043,2026-01-05 20:36:00,CVD-01,RCP-A,321.31,7.999,97.17,59.61,100.42,100.0,0,98.38,Pass
B0044,2026-01-05 20:54:00,CVD-02,RCP-A,320.44,7.938,99.18,59.44,98.82,100.0,0,98.23,Pass
B0045,2026-01-05 21:12:00,CVD-03,RCP-B,326.39,8.474,102.99,62.38,106.39,105.0,1,96.8,Pass
B0046,2026-01-05 21:30:00,CVD-01,RCP-A,318.69,7.841,99.21,59.87,99.7,100.0,1,97.51,Pass
B0047,2026-01-05 21:48:00,CVD-02,RCP-A,319.41,7.927,100.56,59.3,99.2,100.0,0,97.77,Pass
B0048,2026-01-05 22:06:00,CVD-03,RCP-A,319.41,8.004,97.73,59.93,99.62,100.0,2,97.25,Pass
B0049,2026-01-05 22:24:00,CVD-01,RCP-A,321.85,7.864,99.59,59.67,97.14,100.0,4,94.99,Fail
B0050,2026-01-05 22:42:00,CVD-02,RCP-B,327.11,8.368,106.48,62.32,106.04,105.0,1,96.89,Pass
B0051,2026-01-05 23:00:00,CVD-03,RCP-A,321.66,8.073,98.81,60.35,100.27,100.0,0,98.14,Pass
B0052,2026-01-05 23:18:00,CVD-01,RCP-A,320.57,8.068,101.46,60.08,101.67,100.0,2,97.54,Pass
B0053,2026-01-05 23:36:00,CVD-02,RCP-A,319.45,8.093,101.27,58.5,101.41,100.0,0,97.47,Pass
B0054,2026-01-05 23:54:00,CVD-03,RCP-A,318.02,7.939,102.66,60.28,99.85,100.0,3,96.08,Pass
B0055,2026-01-06 00:12:00,CVD-01,RCP-B,323.27,8.35,103.43,62.1,106.1,105.0,1,97.28,Pass
B0056,2026-01-06 00:30:00,CVD-02,RCP-A,319.99,7.965,102.88,60.17,101.25,100.0,0,98.52,Pass
B0057,2026-01-06 00:48:00,CVD-03,RCP-A,321.42,7.975,100.99,60.02,100.71,100.0,1,96.95,Pass
B0058,2026-01-06 01:06:00,CVD-01,RCP-A,319.66,7.919,100.01,59.49,99.52,100.0,1,97.69,Pass
B0059,2026-01-06 01:24:00,CVD-02,RCP-A,320.34,8.025,99.76,61.36,100.63,100.0,0,98.3,Pass
B0060,2026-01-06 01:42:00,CVD-03,RCP-B,325.83,8.347,103.02,60.62,103.16,105.0,2,95.79,Pass
B0061,2026-01-06 02:00:00,CVD-01,RCP-A,321.18,8.114,98.55,59.86,99.97,100.0,1,97.53,Pass
B0062,2026-01-06 02:18:00,CVD-02,RCP-A,321.0,8.192,98.17,60.4,101.51,100.0,1,96.84,Pass
B0063,2026-01-06 02:36:00,CVD-03,RCP-A,322.96,7.938,102.54,59.99,100.88,100.0,0,96.63,Pass
B0064,2026-01-06 02:54:00,CVD-01,RCP-A,320.01,7.961,99.6,59.24,99.12,100.0,1,97.58,Pass
B0065,2026-01-06 03:12:00,CVD-02,RCP-B,323.61,8.318,103.33,61.48,104.53,105.0,0,97.52,Pass
B0066,2026-01-06 03:30:00,CVD-03,RCP-A,321.07,7.931,99.09,60.17,100.41,100.0,1,98.39,Pass
B0067,2026-01-06 03:48:00,CVD-01,RCP-A,319.37,8.157,101.74,60.52,98.6,100.0,2,96.81,Pass
B0068,2026-01-06 04:06:00,CVD-02,RCP-A,318.7,8.079,99.12,60.23,101.47,100.0,0,97.84,Pass
B0069,2026-01-06 04:24:00,CVD-03,RCP-A,318.62,7.881,97.74,59.8,99.52,100.0,1,97.58,Pass
B0070,2026-01-06 04:42:00,CVD-01,RCP-B,323.3,8.306,105.96,61.51,105.21,105.0,0,97.38,Pass
B0071,2026-01-06 05:00:00,CVD-02,RCP-A,320.49,7.877,101.81,60.5,101.84,100.0,1,97.13,Pass
B0072,2026-01-06 05:18:00,CVD-03,RCP-A,321.24,8.036,99.73,60.81,100.92,100.0,1,97.17,Pass
B0073,2026-01-06 05:36:00,CVD-01,RCP-A,319.29,7.999,99.4,58.86,99.39,100.0,1,97.63,Pass
B0074,2026-01-06 05:54:00,CVD-02,RCP-A,320.47,7.939,98.81,58.5,99.73,100.0,1,97.77,Pass
B0075,2026-01-06 06:12:00,CVD-03,RCP-B,324.65,8.477,103.36,62.1,104.88,105.0,0,99.04,Pass
B0076,2026-01-06 06:30:00,CVD-01,RCP-A,320.11,7.783,99.17,59.62,98.96,100.0,0,97.87,Pass
B0077,2026-01-06 06:48:00,CVD-02,RCP-A,320.58,8.008,98.63,61.37,100.43,100.0,1,97.37,Pass
B0078,2026-01-06 07:06:00,CVD-03,RCP-A,317.35,7.958,102.65,59.23,99.07,100.0,2,96.03,Pass
B0079,2026-01-06 07:24:00,CVD-01,RCP-A,321.65,7.933,102.82,59.51,98.91,100.0,4,95.03,Pass
B0080,2026-01-06 07:42:00,CVD-02,RCP-B,324.58,8.512,103.13,62.8,106.34,105.0,0,98.28,Pass
B0081,2026-01-06 08:00:00,CVD-03,RCP-A,320.35,8.091,96.94,59.16,99.18,100.0,0,98.17,Pass
B0082,2026-01-06 08:18:00,CVD-01,RCP-A,319.81,8.08,97.98,58.34,98.28,100.0,1,96.98,Pass
B0083,2026-01-06 08:36:00,CVD-02,RCP-A,321.21,8.066,97.57,60.0,102.31,100.0,2,96.75,Pass
B0084,2026-01-06 08:54:00,CVD-03,RCP-A,323.7,8.014,101.71,59.59,101.26,100.0,1,95.35,Pass
B0085,2026-01-06 09:12:00,CVD-01,RCP-B,326.78,8.387,103.42,62.81,105.78,105.0,1,97.02,Pass
B0086,2026-01-06 09:30:00,CVD-02,RCP-A,320.14,8.043,98.32,58.82,100.22,100.0,1,97.59,Pass
B0087,2026-01-06 09:48:00,CVD-03,RCP-A,322.7,7.976,99.44,59.9,99.94,100.0,1,97.21,Pass
B0088,2026-01-06 10:06:00,CVD-01,RCP-A,321.29,8.04,100.2,61.37,98.7,100.0,0,96.87,Pass
B0089,2026-01-06 10:24:00,CVD-02,RCP-A,322.98,7.865,101.36,61.97,103.52,100.0,1,94.51,Fail
B0090,2026-01-06 10:42:00,CVD-03,RCP-B,329.95,8.283,106.91,62.77,107.63,105.0,2,93.97,Fail
B0091,2026-01-06 11:00:00,CVD-01,RCP-A,322.91,8.03,98.08,58.77,100.24,100.0,1,96.97,Pass
B0092,2026-01-06 11:18:00,CVD-02,RCP-A,321.83,7.761,99.77,59.01,101.31,100.0,1,96.7,Pass
B0093,2026-01-06 11:36:00,CVD-03,RCP-A,324.35,7.849,99.35,60.65,102.52,100.0,3,94.29,Fail
B0094,2026-01-06 11:54:00,CVD-01,RCP-A,323.99,7.936,96.42,59.62,101.34,100.0,1,95.63,Pass
B0095,2026-01-06 12:12:00,CVD-02,RCP-B,327.96,8.49,100.23,62.41,106.9,105.0,2,95.2,Pass
B0096,2026-01-06 12:30:00,CVD-03,RCP-A,323.12,8.061,101.97,59.59,101.58,100.0,2,95.43,Pass
B0097,2026-01-06 12:48:00,CVD-01,RCP-A,326.15,7.928,102.34,60.1,102.37,100.0,1,94.46,Fail
B0098,2026-01-06 13:06:00,CVD-02,RCP-A,324.42,8.328,101.74,59.74,104.0,100.0,4,92.93,Fail
B0099,2026-01-06 13:24:00,CVD-03,RCP-A,323.51,8.223,101.24,59.53,102.45,100.0,0,95.21,Pass
B0100,2026-01-06 13:42:00,CVD-01,RCP-B,328.05,8.224,104.06,61.83,105.9,105.0,1,96.72,Pass
B0101,2026-01-06 14:00:00,CVD-02,RCP-A,322.75,7.909,101.19,59.82,101.66,100.0,1,97.06,Pass
B0102,2026-01-06 14:18:00,CVD-03,RCP-A,328.11,8.319,98.64,59.09,103.34,100.0,2,92.35,Fail
B0103,2026-01-06 14:36:00,CVD-01,RCP-A,324.07,8.017,97.7,59.45,99.98,100.0,1,96.68,Pass
B0104,2026-01-06 14:54:00,CVD-02,RCP-A,326.57,8.037,100.05,60.6,101.19,100.0,4,94.47,Fail
B0105,2026-01-06 15:12:00,CVD-03,RCP-B,331.9,8.689,104.3,62.63,108.1,105.0,5,91.99,Fail
B0106,2026-01-06 15:30:00,CVD-01,RCP-A,319.87,8.209,98.63,60.86,100.55,100.0,1,97.22,Pass
B0107,2026-01-06 15:48:00,CVD-02,RCP-A,319.86,8.159,102.29,60.06,101.19,100.0,0,97.58,Pass
B0108,2026-01-06 16:06:00,CVD-03,RCP-A,319.16,7.717,98.52,59.97,99.45,100.0,1,97.87,Pass
B0109,2026-01-06 16:24:00,CVD-01,RCP-A,320.46,7.727,100.65,60.23,100.7,100.0,0,98.2,Pass
B0110,2026-01-06 16:42:00,CVD-02,RCP-B,326.59,8.389,102.67,62.12,106.32,105.0,2,95.87,Pass
B0111,2026-01-06 17:00:00,CVD-03,RCP-A,319.18,7.694,100.59,60.27,98.99,100.0,3,96.28,Pass
B0112,2026-01-06 17:18:00,CVD-01,RCP-A,319.57,7.998,99.68,60.4,99.61,100.0,2,97.05,Pass
B0113,2026-01-06 17:36:00,CVD-02,RCP-A,318.72,8.02,99.44,60.41,100.65,100.0,1,97.48,Pass
B0114,2026-01-06 17:54:00,CVD-03,RCP-A,321.64,7.948,99.32,59.29,98.87,100.0,2,96.29,Pass
B0115,2026-01-06 18:12:00,CVD-01,RCP-B,325.02,8.543,104.8,62.5,105.43,105.0,0,97.82,Pass
B0116,2026-01-06 18:30:00,CVD-02,RCP-A,320.78,8.147,98.85,60.55,100.42,100.0,4,95.72,Pass
B0117,2026-01-06 18:48:00,CVD-03,RCP-A,319.88,8.097,98.59,60.44,99.27,100.0,1,98.32,Pass
B0118,2026-01-06 19:06:00,CVD-01,RCP-A,319.31,7.899,96.16,61.07,98.73,100.0,0,96.55,Pass
B0119,2026-01-06 19:24:00,CVD-02,RCP-A,321.95,8.114,99.96,60.02,101.83,100.0,0,97.48,Pass
B0120,2026-01-06 19:42:00,CVD-03,RCP-B,325.11,8.382,107.25,63.31,105.73,105.0,0,97.74,Pass
B0121,2026-01-06 20:00:00,CVD-01,RCP-A,321.31,7.942,99.21,60.31,99.85,100.0,0,98.12,Pass
B0122,2026-01-06 20:18:00,CVD-02,RCP-A,318.75,8.244,100.2,59.47,102.24,100.0,3,95.83,Pass
B0123,2026-01-06 20:36:00,CVD-03,RCP-A,320.55,8.017,102.8,59.96,100.36,100.0,2,97.0,Pass
B0124,2026-01-06 20:54:00,CVD-01,RCP-A,320.48,7.956,99.37,60.31,99.54,100.0,1,97.56,Pass
B0125,2026-01-06 21:12:00,CVD-02,RCP-B,324.64,8.424,104.43,61.3,105.27,105.0,0,99.46,Pass
B0126,2026-01-06 21:30:00,CVD-03,RCP-A,319.48,7.848,103.02,60.15,98.58,100.0,0,96.79,Pass
B0127,2026-01-06 21:48:00,CVD-01,RCP-A,319.49,7.974,98.78,59.87,101.18,100.0,0,98.31,Pass
B0128,2026-01-06 22:06:00,CVD-02,RCP-A,318.85,8.012,102.41,59.6,100.03,100.0,2,96.61,Pass
B0129,2026-01-06 22:24:00,CVD-03,RCP-A,320.37,8.103,100.66,60.36,100.09,100.0,1,98.41,Pass
B0130,2026-01-06 22:42:00,CVD-01,RCP-B,323.14,8.285,106.34,60.9,104.29,105.0,3,95.94,Pass
B0131,2026-01-06 23:00:00,CVD-02,RCP-A,319.66,7.877,100.23,60.98,100.72,100.0,0,97.31,Pass
B0132,2026-01-06 23:18:00,CVD-03,RCP-A,320.67,8.002,102.78,60.42,101.57,100.0,4,95.98,Pass
B0133,2026-01-06 23:36:00,CVD-01,RCP-A,318.14,7.848,102.36,59.53,99.55,100.0,3,96.52,Pass
B0134,2026-01-06 23:54:00,CVD-02,RCP-A,320.6,7.998,98.73,59.61,101.14,100.0,0,97.69,Pass
B0135,2026-01-07 00:12:00,CVD-03,RCP-B,323.47,8.333,104.95,62.09,105.05,105.0,0,98.32,Pass
B0136,2026-01-07 00:30:00,CVD-01,RCP-A,320.24,7.894,96.43,60.7,100.01,100.0,2,97.16,Pass
B0137,2026-01-07 00:48:00,CVD-02,RCP-A,320.33,7.883,96.65,59.16,100.09,100.0,1,97.06,Pass
B0138,2026-01-07 01:06:00,CVD-03,RCP-A,320.87,7.873,100.29,61.0,100.54,100.0,1,97.97,Pass
B0139,2026-01-07 01:24:00,CVD-01,RCP-A,319.67,7.987,100.64,60.12,100.49,100.0,3,96.62,Pass
B0140,2026-01-07 01:42:00,CVD-02,RCP-B,324.46,8.421,103.06,60.97,104.7,105.0,0,98.16,Pass
B0141,2026-01-07 02:00:00,CVD-03,RCP-A,320.24,7.954,99.59,60.73,99.53,100.0,3,97.41,Pass
B0142,2026-01-07 02:18:00,CVD-01,RCP-A,319.27,8.002,103.64,59.07,99.39,100.0,1,96.86,Pass
B0143,2026-01-07 02:36:00,CVD-02,RCP-A,320.47,8.014,99.08,59.84,101.53,100.0,1,97.8,Pass
B0144,2026-01-07 02:54:00,CVD-03,RCP-A,321.05,7.967,101.04,60.92,99.92,100.0,0,98.56,Pass
B0145,2026-01-07 03:12:00,CVD-01,RCP-B,323.9,8.15,102.8,61.64,102.65,105.0,3,95.62,Pass
B0146,2026-01-07 03:30:00,CVD-02,RCP-A,320.62,8.024,99.15,58.72,100.81,100.0,4,96.5,Pass
B0147,2026-01-07 03:48:00,CVD-03,RCP-A,320.66,7.869,97.63,60.01,99.88,100.0,0,97.67,Pass
B0148,2026-01-07 04:06:00,CVD-01,RCP-A,320.72,8.059,98.22,59.71,99.4,100.0,2,96.34,Pass
B0149,2026-01-07 04:24:00,CVD-02,RCP-A,320.44,8.144,101.57,60.38,101.49,100.0,1,96.45,Pass
B0150,2026-01-07 04:42:00,CVD-03,RCP-B,325.63,8.372,106.4,60.64,105.17,105.0,0,97.79,Pass
B0151,2026-01-07 05:00:00,CVD-01,RCP-A,320.1,8.221,101.0,59.44,99.56,100.0,2,97.99,Pass
B0152,2026-01-07 05:18:00,CVD-02,RCP-A,317.09,8.078,97.87,60.98,99.03,100.0,4,95.0,Fail
B0153,2026-01-07 05:36:00,CVD-03,RCP-A,320.55,8.016,99.83,59.31,99.09,100.0,1,97.99,Pass
B0154,2026-01-07 05:54:00,CVD-01,RCP-A,320.53,7.966,98.87,59.54,101.06,100.0,0,98.31,Pass
B0155,2026-01-07 06:12:00,CVD-02,RCP-B,321.09,8.682,104.53,62.74,104.79,105.0,0,96.44,Pass
B0156,2026-01-07 06:30:00,CVD-03,RCP-A,319.74,8.023,99.16,59.15,100.96,100.0,2,97.54,Pass
B0157,2026-01-07 06:48:00,CVD-01,RCP-A,320.71,7.983,99.88,59.69,100.79,100.0,2,97.72,Pass
B0158,2026-01-07 07:06:00,CVD-02,RCP-A,318.75,8.0,98.96,60.62,99.75,100.0,1,98.28,Pass
B0159,2026-01-07 07:24:00,CVD-03,RCP-A,319.08,7.953,99.02,59.74,98.79,100.0,1,97.84,Pass
B0160,2026-01-07 07:42:00,CVD-01,RCP-B,325.92,8.488,106.3,60.22,104.14,105.0,1,97.26,Pass
B0161,2026-01-07 08:00:00,CVD-02,RCP-A,319.18,7.832,99.21,60.23,100.24,100.0,0,98.83,Pass
B0162,2026-01-07 08:18:00,CVD-03,RCP-A,322.99,8.01,99.76,61.41,102.64,100.0,1,96.09,Pass
B0163,2026-01-07 08:36:00,CVD-01,RCP-A,319.01,8.084,97.72,59.83,100.67,100.0,2,96.36,Pass
B0164,2026-01-07 08:54:00,CVD-02,RCP-A,320.63,7.9,101.57,59.86,99.48,100.0,0,97.58,Pass
B0165,2026-01-07 09:12:00,CVD-03,RCP-B,324.98,8.47,102.73,62.05,105.15,105.0,3,97.19,Pass
B0166,2026-01-07 09:30:00,CVD-01,RCP-A,318.3,9.385,101.73,59.77,102.39,100.0,3,93.59,Fail
B0167,2026-01-07 09:48:00,CVD-02,RCP-A,318.33,9.273,101.93,59.74,101.41,100.0,3,94.18,Fail
B0168,2026-01-07 10:06:00,CVD-03,RCP-A,318.49,9.002,98.24,60.72,101.28,100.0,4,94.04,Fail
B0169,2026-01-07 10:24:00,CVD-01,RCP-A,320.51,8.833,101.25,59.17,99.71,100.0,5,93.34,Fail
B0170,2026-01-07 10:42:00,CVD-02,RCP-B,323.88,9.791,104.28,63.57,108.52,105.0,4,93.49,Fail
B0171,2026-01-07 11:00:00,CVD-03,RCP-A,318.98,9.024,97.81,60.08,99.51,100.0,0,96.73,Pass
B0172,2026-01-07 11:18:00,CVD-01,RCP-A,320.04,9.326,99.69,60.46,104.25,100.0,4,93.78,Fail
B0173,2026-01-07 11:36:00,CVD-02,RCP-A,318.86,9.184,97.25,59.91,100.03,100.0,1,97.06,Pass
B0174,2026-01-07 11:54:00,CVD-03,RCP-A,317.97,9.204,101.81,59.96,100.46,100.0,0,95.4,Pass
B0175,2026-01-07 12:12:00,CVD-01,RCP-B,324.27,9.412,103.45,60.95,106.65,105.0,4,93.92,Fail
B0176,2026-01-07 12:30:00,CVD-02,RCP-A,321.16,9.226,99.42,59.85,102.94,100.0,1,94.49,Fail
B0177,2026-01-07 12:48:00,CVD-03,RCP-A,321.87,9.475,98.65,59.81,102.89,100.0,4,92.79,Fail
B0178,2026-01-07 13:06:00,CVD-01,RCP-A,320.67,9.158,99.32,60.26,102.44,100.0,4,93.54,Fail
B0179,2026-01-07 13:24:00,CVD-02,RCP-A,318.84,8.85,102.84,60.19,102.33,100.0,3,94.46,Fail
B0180,2026-01-07 13:42:00,CVD-03,RCP-B,323.36,9.932,104.39,61.48,108.57,105.0,4,93.46,Fail
B0181,2026-01-07 14:00:00,CVD-01,RCP-A,320.06,7.931,100.35,59.58,101.13,100.0,1,97.01,Pass
B0182,2026-01-07 14:18:00,CVD-02,RCP-A,320.7,7.907,99.9,60.49,99.98,100.0,1,98.54,Pass
B0183,2026-01-07 14:36:00,CVD-03,RCP-A,319.45,7.865,98.92,59.32,98.21,100.0,0,97.69,Pass
B0184,2026-01-07 14:54:00,CVD-01,RCP-A,320.4,8.179,99.15,60.87,103.62,100.0,1,95.91,Pass
B0185,2026-01-07 15:12:00,CVD-02,RCP-B,323.76,8.431,102.43,62.02,105.17,105.0,1,97.28,Pass
B0186,2026-01-07 15:30:00,CVD-03,RCP-A,317.48,8.139,100.16,60.24,98.88,100.0,0,96.35,Pass
B0187,2026-01-07 15:48:00,CVD-01,RCP-A,320.55,8.029,101.6,59.46,98.91,100.0,0,98.23,Pass
B0188,2026-01-07 16:06:00,CVD-02,RCP-A,320.66,7.933,101.05,60.46,100.99,100.0,1,98.67,Pass
B0189,2026-01-07 16:24:00,CVD-03,RCP-A,321.39,7.771,101.86,59.12,98.98,100.0,3,96.92,Pass
B0190,2026-01-07 16:42:00,CVD-01,RCP-B,327.43,8.453,104.41,60.92,105.51,105.0,2,96.75,Pass
B0191,2026-01-07 17:00:00,CVD-02,RCP-A,321.44,7.878,101.71,59.99,98.99,100.0,3,97.03,Pass
B0192,2026-01-07 17:18:00,CVD-03,RCP-A,319.98,7.959,100.4,60.96,99.57,100.0,0,98.22,Pass
B0193,2026-01-07 17:36:00,CVD-01,RCP-A,321.67,8.113,101.53,60.12,101.98,100.0,2,96.56,Pass
B0194,2026-01-07 17:54:00,CVD-02,RCP-A,318.81,8.072,101.93,59.35,99.82,100.0,2,97.61,Pass
B0195,2026-01-07 18:12:00,CVD-03,RCP-B,327.96,8.5,101.74,60.68,105.94,105.0,2,95.63,Pass
B0196,2026-01-07 18:30:00,CVD-01,RCP-A,319.91,8.027,100.6,60.85,99.86,100.0,1,97.47,Pass
B0197,2026-01-07 18:48:00,CVD-02,RCP-A,317.72,7.883,102.83,61.05,99.86,100.0,1,96.84,Pass
B0198,2026-01-07 19:06:00,CVD-03,RCP-A,319.73,7.996,100.77,60.56,101.56,100.0,2,97.13,Pass
B0199,2026-01-07 19:24:00,CVD-01,RCP-A,319.15,8.193,99.5,59.28,99.53,100.0,0,97.78,Pass
B0200,2026-01-07 19:42:00,CVD-02,RCP-B,323.51,8.255,102.81,62.42,103.09,105.0,2,96.57,Pass
B0201,2026-01-07 20:00:00,CVD-03,RCP-A,320.16,7.871,101.47,59.53,99.4,100.0,2,97.62,Pass
B0202,2026-01-07 20:18:00,CVD-01,RCP-A,320.18,7.784,98.76,61.61,100.69,100.0,0,97.22,Pass
B0203,2026-01-07 20:36:00,CVD-02,RCP-A,319.73,8.002,98.07,58.34,99.28,100.0,1,98.54,Pass
B0204,2026-01-07 20:54:00,CVD-03,RCP-A,318.67,7.87,102.26,59.78,98.78,100.0,2,96.89,Pass
B0205,2026-01-07 21:12:00,CVD-01,RCP-B,325.66,8.316,104.72,61.02,106.05,105.0,3,96.45,Pass
B0206,2026-01-07 21:30:00,CVD-02,RCP-A,320.41,8.089,100.68,60.26,101.51,100.0,1,96.95,Pass
B0207,2026-01-07 21:48:00,CVD-03,RCP-A,319.14,7.826,100.36,61.42,100.61,100.0,2,96.98,Pass
B0208,2026-01-07 22:06:00,CVD-01,RCP-A,320.29,8.078,101.73,59.73,98.47,100.0,0,97.95,Pass
B0209,2026-01-07 22:24:00,CVD-02,RCP-A,322.08,8.223,99.28,58.91,100.73,100.0,1,96.54,Pass
B0210,2026-01-07 22:42:00,CVD-03,RCP-B,322.28,8.468,104.9,63.16,103.76,105.0,2,96.41,Pass
B0211,2026-01-07 23:00:00,CVD-01,RCP-A,320.18,7.973,101.27,58.98,99.0,100.0,0,98.1,Pass
B0212,2026-01-07 23:18:00,CVD-02,RCP-A,320.04,8.06,100.32,59.53,101.26,100.0,0,98.93,Pass
B0213,2026-01-07 23:36:00,CVD-03,RCP-A,319.12,7.921,99.91,59.1,97.69,100.0,1,96.79,Pass
B0214,2026-01-07 23:54:00,CVD-01,RCP-A,320.17,8.043,100.8,60.17,100.5,100.0,1,98.74,Pass
B0215,2026-01-08 00:12:00,CVD-02,RCP-B,324.06,8.489,102.06,61.18,105.97,105.0,1,97.15,Pass
B0216,2026-01-08 00:30:00,CVD-03,RCP-A,320.1,8.066,104.67,58.94,100.48,100.0,3,96.09,Pass
B0217,2026-01-08 00:48:00,CVD-01,RCP-A,320.02,8.057,103.63,59.82,101.56,100.0,3,96.34,Pass
B0218,2026-01-08 01:06:00,CVD-02,RCP-A,319.16,8.223,101.97,61.21,101.54,100.0,0,97.5,Pass
